ID	Markup	Left column	Main column	Pounds	Shillings	Pence
819	tr		more as collonell of a regim[en]t, & captaine of a compa[ny] &c.	18	11	0
820	tr	16	p[ai]d Captain Arthur Evelin for a mo[nths] paye for his troope beginninge 1 [Octo]bre	174	13	0
821	tr	33	p[ai]d S[i]r w[illia]m Balfour captaine of a troope of 80 cuirassiers a mo[nths] entertainm[en]t of the officers & troope from the 26 Sept[embe]r	624	4	0
822	tr	12	p[ai]d the Lord St John for the arrears & a monthes pay for the officers of his regiment to beginn the 1 [Octo]bre	407	4	0
823	tr	29	p[ai]d Captaine Edward wingat for pay of 1/2 a monthe for himself officers & troope to end the 14 [Octo]bre	174	13	0
824	tr	6	p[ai]d Callibut Downing Chaplaine to the lord Robert[es] for his pay & his servant[es] endinge the last [Septem]bre	15	3	4
825	tr	108	p[ai]d Capt[ain] Styles for 15 dayes pay of his compa[ny] of 93 sold[ier]s of Coll[onel] Hambdens regim[en]t endinge the last [Septem]bre 46.10. & for 1/2 a monthes pay of the said compa[ny] endinge [th]e 14 [Octo]bre	89	18	0
826	close table	63	p[ai]d Captaine John needham for pay of his foot compa[ny] as by [th]e warr[an]t - this monie was paid the 29 [Septem]bre	38	14	0
827	head		4 [Octo]bre [1642]			
828	open table	6	p[ai]d Adoniram Bifeild Chaplaine to S[i]r Henry Cholmlye for his and his servant[es] pay	17	10	0
829	tr	5	p[ai]d Stephen marshall Chaplaine to my Lord G[enera]ll for himself and servant	16	2	0
830	tr	78	sett downe short in Nicholas Bond[es] paym[en]t [th]e 27 [Septem]bre	20	0	0
831	tr	58	p[ai]d Collonell Hollis for the arrears and halff a mo[nths] pay for his reg[imen]t of 1130 men as by the warr[an]tt	1024	12	6
832	tr	108	p[ai]d S[i]r Anthony St John for arrears of his compa[ny] of [^75^] sold[ier]s & for 14 dayes beginning the 1 [Octo]bre	62	19	6
833	tr	47	p[ai]d Captaine Oliver Cromwell in full of on 1/2 mo[nths] pay of his troop of 80 harqueb[usiers] beginning 1 [Octo]bre	35	0	0
834	tr	13	p[ai]d John Anthonye suregeon to Collonel Sandis regim[en]t of horse for the arreers of his pay to the 1 [Octo]bre	21	0	0
835	close table			167439	6	11
836	pb		27v			
837	table (single row)		Sommeth the paym[entes] on the other side	167439	6	11
838	head		4 [Octo]bre [1642]			
839	table (single row)	12	p[ai]d John Blockman wagon m[aste]r of Collonel Brownes regim[en]t for his pay for 2 mo[nths] & 7 dayes to [th]e 30 [Septem]bre	9	9	-
840	head		5 [October 1642]			
841	open table	102	p[ai]d Robert Chambers as secretarye of the councell of warr for his entertainm[en]t as secretarie of the councell of warr for 2 mo[nths] 7 days	31	10	-
842	tr	5	p[ai]d obediah sedgwicke chaplaine to Collonell Hollis for his & his mans pay to the last [Septem]bre	8	3	4
843	tr	13	p[ai]d Collonell Hambden for pay & entertainment of himself & officers of his reg[imen]t of 9 compa[nies] from the 16 [Septem]bre to the 14 [Octo]bre	506	1	-
844	tr		more for on 1/2 months paye of 184 sold[ier]s being his owne compa[ny] to begin [th]e 1 [Octo]bre & for the arrears of the said compa[ny]	177	17	4
845	tr	78	p[ai]d nicholas Bond for severall charges by him laid out as by the warr[an]t app[ear]s	68	10	0
846	tr	49	p[ai]d my lord Generall for his entertainm[en]t as G[e]n[era]ll of the armye for on mo[nth] & 7 dayes endinge the 30 [Septem]bre at xl p[er] diem	350	0	0
847	tr	49	p[ai]d Captain Pudsey for a mo[nths] pay of 30 halberdiers and 18d p[er] diem	63	0	0
848	tr		more p[ai]d him for his owne entertainm[en]t as Capt[ain] of the said guard for his arreers and a mo[nths] pay begininge the 1 [Octo]bre	34	-	-
849	tr	109	p[ai]d Captaine Vernon deputy T[reasur]er of the armye for his entertainm[en]t & 6s.8d p[er] diem from the 31 of Aug[us]t to the 30 [Septem]bre inclusive beinge 30 dayes	10	0	0
850	tr		more for 3 clark[es] allowed at 2s p[er] diem	9	0	0
851	tr	10	p[ai]d m[aste]r John sedgwick Chaplaine to the Earle of stamf[ord] for his pay and his mans to the last [Septem]bre	8	3	4
852	tr	11	p[ai]d simeon Ash Champlaine to my lord mandevill[es] Regim[en]t for his pay & his servant[es] to the last [Septem]bre	14	14	0
853	tr	30	p[ai]d Colonel Thomas Ballard for the entertainm[en]t of himself officers and soldi[er]s from the 24. [Septem]bre to the 15 [Octo]bre exclusive	966	7	0
854	tr	66	p[ai]d S[i]r Arthur Hazelrige for 1/2 a month pay due to himself officers and troop from the 1 [Octo]bre	174	13	-
855	tr	64	p[ai]d Capt[ain] valentine walton for his troop as above	174	13	0
856	tr	28	p[ai]d my lord Hastings for 9 dayes for his troop to end 14 [Octo]bre	112	5	6
857	close table		exemened	170157	13	5
858	pb		28r			
859	table (single row)		Som[m]eth [th]e paym[entes] on the other side	170157	13	5
860	head		5 [Octo]bre 1642			
861	open table	107	p[ai]d Lionell Coplye uppon acc[oun]tt to be imployed for the spetiall service of the state	200	0	0
862	tr	86	p[ai]d Richard Thurston surgeon to Collonel Goodwins regiment for his and his mates pay endinge the 1 [Octo]bre	21	0	0
863	close table	11	p[ai]d Captaine Thomas Temple for 7 dayes pay for his troope ending the 30 [Septem]bre	87	6	6
864	head		6 [October 1642]			
865	open table	49	p[ai]d the Lord Robert[es] for his & the offic[er]s pay of his regim[en]t consistinge of 9 compa[nies] except the chaplaine from the 17 aug[us]t to the 15 [Octo]bre	855	1	0
866	tr	12	p[ai]d my lord St John for on 1/2 mo[nths] pay for his whole troope beginning 1 [Octo]bre	174	13	0
867	tr		more for the pay of his reg[imen]t of 800 sol[dier]s for on 1/2 mo[nth] to end the 14 [Octo]bre	373	6	8
868	tr	13	p[ai]d m[aste]r w[illia]m Spurstow chaplaine to Coll[onel] Hampden for his and his servant[es] pay ending 30 [Septem]bre	15	3	4
869	tr	80	p[ai]d Lawrence Loe my lord g[enera]ll[es] surgeon for maintenance of his bidett[es] 2 mo[nths] 7 day	14	14	0
870	close table	15	p[ai]d Collonell Arthur Goodwin for his pay and entertainm[en]t as Collonell of a reg[imen]t of horse to the 1 [Octo]bre	94	10	0
871	head		7 [October 1642]			
872	open table	20	p[ai]d liefftenn[an]t Collonel davies by the hand[es] of sergeant major Bamfeild for 21 daies pay for the officers of my lord g[enera]ll[es] reg[imen]t to end the 14 [Octo]bre	496	13	0
873	tr	11	p[ai]d Sergeant Major Gunter for on whole monthes pay for his troope to begine [th]e 1 [Octo]bre	349	6	0
874	tr	22	p[ai]d Mons[ieu]r de Boys for soe much advanced for levy of 100 fierlock[es]	50	0	0
875	tr		more p[ai]d him for entertainm[en]t of the officers of the traine of Artigliry (except the g[enera]ll) from the 23 [Septem]bre to [th]e 14 [Octo]bre 21 days	1710	2	0
876	tr	21	p[ai]d olive Reiston widdow the relict of will[ia]m Reiston liefftenn[an]t to Capt[ain] Anslme slaine near worster for her releif	20	0	0
877	tr	21	p[ai]d Elizabeth Daniel his Cornet[es] wiffe John Daniell likewise slaine ther for her releif	20	0	0
878	tr	50	p[ai]d Henry Bilingsley assistant to [th]e sergeant major generall for his entertainm[en]t from the 27 Aug[us]t to the first [Octo]bre	52	10	-
879	close table			174691	18	11
880	pb		28v			
881	table (single row)		Sommeth the other side	174691	18	11
882	head		October 8 1642			
883	open table	66	p[ai]d S[i]r Arthur Hazelrig for pay of himself officers and troope for 5 dayes endinge the last [Septem]bre	62	7	6
884	tr	44	p[ai]d Captaine Richard Greenvill for remaine of a mo[nths] pay for himself & officers uppon acc[oun]tt	49	6	-
885	tr	33	p[ai]d S[i]r Henry Cholmlye Collonel of a reg[imen]t of 1128 men for paym[en]t of the said reg[imen]t for 14 dayes to end the 28 of [Octo]bre	814	10	-
886	tr	110	p[ai]d Captaine Richard Ingoldsbye for 29 dayes paye of 100 sold[ier]s in Coll[onel] Hambd[e]ns reg[imen]t to end [th]e 14 [Octo]bre	96	13	4
887	close table	110	p[ai]d sargeant major Bariffe as well for 29 dayes paye for 74 sold[ier]s beginning 16 [Septem]bre last. as alsoe for 11 sold[ier]s more to compleat his troope begining [th]e 1 [Octo]bre	77	2	8
888	head		9 [October 1642]			
889	table (single row)	75	p[ai]d S[i]r John meldrome for his paye and entertainm[en]t at 40s p[er] diem for 29 days to [th]e 1 [Octo]bre exclu[sive]	38	-	-
890	head		10 [October 1642]			
891	open table	77	p[ai]d Captaine John Hall for 1/2 a mo[nths] pay for his troop to end the 28 [Octo]bre	174	13	-
892	tr	35	p[ai]d Captaine Keightley for 8 dayes pay of his troop to the 14 [Octo]bre	99	16	-
893	tr	24 S[i]r J[oh]n Meld[rums] regem[en]t	p[ai]d the Lord Say for entertainm[en]t of himself officers & reg[imen]t of 658 sold[ier]s for on 1/2 mo[nth] to end the 28 [Octo]bre	535	19	4
894	tr	14	p[ai]d the Lord Brooke Collonel of a regim[en]t of dragoon[er]s for pay of 370 drag[oons] for 7 dayes to begine from the 8 [Octo]bre	194	9	-
895	tr		more p[ai]d him uppon acc[oun]tt for charges of raisinge and bringinge horses to Wor[cester]	100	0	0
896	tr		more for 1/2 a mo[nths] pay of the officers of [th]e said regement	242	4	0
897	tr		more uppon accompt for providing 300 saddles for dragoon[er]s	150	0	0
898	tr	33	p[ai]d S[i]r will[ia]m Balfour for 2 mo[nths] pay and entertainm[en]t as Collonel of a reg[imen]t of horse ended 26 [Septem]bre at 30s p[er] diem	84	0	0
899	tr		more as leifftenn[an]t g[enera]ll of the horse for 2 mo[nths] 7 days at 40s p[er] diem ended last [Septem]bre	126	0	0
900	tr		more [^as Capt[ain] of^] 80 cuirassiers for an arreer due to himself and officers to the 17 aug[us]t	105	8	0
901	close table			177642	3	9
902	pb		29r			
903	table (single row)		Sommeth [th]e paym[entes] on the other side	177642	3	9
904	head		11 October 1642			
905	open table	79	p[ai]d Captaine Marke Grimes for arrears of his compa[ny] of 67 sold[ier]s of my lord Robert[es] Reg[imen]t & alsoe for on mo[nths] pay to end [th]e 28 pres[en]t	73	14	0
906	tr	105	p[ai]d sargeant major Bamfeild beinge for 1 monthes pay of his compa[ny] of 107 soldiers in my lord g[enera]ll[es] regiment to beginn from the 22 august last this monie was p[ai]d in a some of 100 the 16 [Septem]bre	99	18	-
907	tr	22	p[ai]d Mons[ieu]r de Boys uppon acc[oun]tt toward[es] the charges of cariage of the traine of Artigliry this monie was p[ai]d [th]e 28 [Septem]bre	200	0	0
908	tr	10	p[ai]d my lord Stamford for allowance of 11 wagons for his regiment at xll a wagon - this was p[ai]d the 19 [Septem]bre at northamp[ton]	440	0	0
909	tr	41	p[ai]d Capt[ain] John Hamond Captaine of a troope of harquebusiers for himself officers and sold[ier]s to begine from the first [Octo]bre - this was paid the 30 [Septem]bre	329	8	0
910	tr	111	p[ai]d the Lord Rochford as Collonel of a regiment & Captaine of a compa[ny] for 7 dayes arreer to the 1 [Octo]bre & 1/2 a monthes pay more - this monie was p[ai]d [th]e 4 [Octo]bre	47	5	0
911	close table		all thease 5 by m[aste]r Chambers noat[es] first			
912	head		11 [Octo]bre [1642]			
913	open table	102	p[ai]d m[aste]r Robert Chambers for soe much by him disbursed at severall times for cariage of packet[es] and other services of [th]e state	48	13	0
914	tr	111	p[ai]d Captaine John mill in my lord Robert[es] Reg[imen]t for paye of his compa[ny] of 65 sould[ier]s to end the 28 [Octo]bre	66	10	0
915	tr	112	p[ai]d Capt[ain] John Mercer of the same reg[imen]t for 42 sold[ier]s 14 dayes to end the 28 pres[en]t	19	12	0
916	tr	76	p[ai]d Captaine Jo[hn] walker for 68 sold[ier]s of [th]e same reg[imen]t for 7 dayes to [th]e last [Septem]bre & for on mo[nths] more to end the 28 [Octo]bre	79	6	8
917	tr	112	p[ai]d Capt[ain] Jonathan Ellyott for 49 sold[ier]s of the same reg[imen]t for 4 dayes paye 6.10.8. & a mo[nth] for 44 to end the 28 [...] 30 16	37	6	8
918	tr	113	p[ai]d leifft[enant] Collonel will[ia]m Hunter of the same reg[imen]t for arrears & 21 dayes pay for 59 sold[ier]s endinge the 28 [Octo]bre	42	4	-
919	tr	113	p[ai]d Sergeant major Hurrye of [th]e same Regiment for pay of 65 sol[dier]s to the 28 [Octo]bre	53	2	-
920	close table			179179	3	1
921	pb		29v			
922	table (single row)		Sommeth [th]e paym[entes] on the other side	179179	3	1
923	head		11 [Octo]bre 1642			
924	open table	37	p[ai]d S[i]r phillipe Stapleton for pay of my Lord g[enera]ll[es] troope of Cuirassiers for arrers & 1/2 a mo[nths] pay to begin from the 15 present	720	0	0
925	tr	29	p[ai]d Captaine John Bird for 7 dayes paye for his troop to end [th]e 14 present	87	6	6
926	tr	114	p[ai]d m[aste]r Anthony Allen Scoutmaster g[enera]ll by way of advance for provision of horses to be by him imployed in the service	100	0	0
927	tr	15	p[ai]d Collonell Arthur Goodwin in full payment of his troop to the 14 [Octo]bre inclu[sive] besid[es] 300l rec[eive]d of my lord saye	161	11	6
928	tr	114	p[ai]d S[i]r Thomas Sannd[er]s for his troop as above of Collonel Goodwins reg[imen]t	161	11	6
929	tr	45	p[ai]d Capt[ain] Thomas Tirrel of the same regim[en]t for his troop as above	161	11	6
930	tr	61	p[ai]d S[i]r Sigismond Allexand[e]r sergeant major to that reg[imen]t for his troop as above	161	11	6
931	tr	44	p[ai]d Capt[ain] Richard Greenvill for his troop in the said reg[imen]t as above	161	11	6
932	tr	15	p[ai]d m[aste]r Edward Perkins Chaplaine to [th]e said regiment for furnishing himself w[i]th necessa[ries]	20	0	0
933	tr	14	p[ai]d m[aste]r will[ia]m wickins Chaplaine to my lord Brook[es] Reg[imen]t on foot for several allowances as by the warr[an]t	34	14	-
934	tr	86	p[ai]d Capt[ain] Henry Carew for arrears & on mo[nths] pay of his compa[ny] of 50 sold[ier]s ending 28 [Octo]bre	55	0	0
935	tr	100	p[ai]d Doct[o]r Richard Gardiner phisision of the Army by him to be destributed to the maymed sold[ier]s	50	0	0
936	tr	24 S[i]r J[oh]n Meldr[ums] regem[en]t	p[ai]d the lord saye & seale for 14 dayes paye of 2 capt[ain]s and ther offic[er]s belonging to his Reg[imen]t to end the 28 pre[sen]t & alsoe for the pay of 141 sold[ier]s for [th]e same time	107	16	0
937	close table	25	p[ai]d my lord Stamford by waye of imprest uppon accompt	300	0	0
938	head		12 [October 1642]			
939	open table	69	p[ai]d Collonell wardlaw for pay and entertainm[en]t of the officers and soldiers of his regiment of dragoon[er]s vizt for soe much as is unpaid & shalbe due from [th]e 1 to [th]e 14 [Octo]bre	861	1	6
940	tr		p[ai]d Doct[o]r odlinge phisition for soe much allowed him for his service & expences in the army from [th]e 30 Julie to [th]e first [Octo]bre	21	0	0
941	tr	26	p[ai]d Captaine John Fleming for arrears of his troop & pay to the end of [Octo]bre	212	1	6
942	close table			182556	0	1
943	pb		30r			
944	table (single row)		Sommeth [th]e paym[entes] on the other side	182556	0	1
945	head		12 [Octo]bre [1642]			
946	open table	119	p[ai]d Sergeant Major Urrey for soe much remaininge due to him uppon his last mo[nths] pay this monie was lent him by my lord g[enera]ll & p[ai]d him againe	100	0	0
947	tr	49	p[ai]d the Lord Robert[es] for pay of his co[m]panie of 111 sold[ier]s for on mo[nth] to end [th]e 28 [Octo]bre	103	12	0
948	tr	7	p[ai]d my Lord wharton uppon acc[oun]tt toward[es] the pay and entertainm[en]t of himself offic[er]s and souldiers	150	0	0
949	tr	92	p[ai]d S[i]r Samuell Luke for pay of the officers and soldiers of his troop to the 28 daye of october	212	1	6
950	tr	65	Paid leifftenn[an]t Collonel Parkinson for soe much due & to be due to the 14 of this instant [Octo]bre for the pay of 479 sold[ier]s in the reg[imen]t of my lord Mandevill belonginge to severall Captaines mentioned in the warr[an]tt the pay to end the 11 november next	454	14	0
951	close table	55	p[ai]d Captaine Thomas ward for 29 dayes pay for his compa[ny] of 90 soldiers in my lord gen[era]ll[es] Regiment endinge the 14 [Octo]bre	87	-	-
952	head		13 [October 1642]			
953	open table	43	p[ai]d Collonell Sand[es] for the pay of his officers and sould[ier]s of his troope of 80 harquebusiers to the 28 oc[to]bre	419	6	0
954	tr	42	p[ai]d John Baldwin provost marshall g[enera]ll of the horse 1/2 mo[nths] pay for himself leifften[an]t & [?8?] menn to beginn the 15 [Octo]bre	24	10	-
955	tr	16	p[ai]d w[illia]m winter Chaplaine to my lord St John for his provision pay and servant[es] pay to the last [Septem]bre	34	14	0
956	tr	111	p[ai]d the lord Rochford for pay of severall companies of his reg[imen]t to end the 28 [Octo]bre as by the warrent	464	11	8
957	tr	31	p[ai]d James Senior provost marshall g[enera]ll for pay of himself officers and menn to [th]e first [Octo]bre	113	8	4
958	tr		more for a man of Justice	4	11	0
959	tr	14	p[ai]d Quarter m[aste]r G[enera]ll Dulbier for arrears of his troop & 1/2 mo[nths] pay from [th]e 15 pre[sen]t	299	8	0
960	tr	81	p[ai]d Captaine Bushell Capt[ain] leifftenn[ant] of my lord G[enera]ll[es] compa[ny] for arrears and pay of the said compa[ny] to the 15 [Octo]bre	174	0	8
961	close table			185197	17	3
962	pb		30v			
963	table (single row)		Sommeth the paym[entes] on the other side	185197	17	3
964	head		13 [Octo]bre [1642]			
965	open table	22	p[ai]d mons[ieu]r de Boyes uppon accompt for waggons	300	0	0
966	tr	15	p[ai]d Capt[ain] Natha[niel] Fines for the officers and sold[ier]s of his troope to the 28 present	349	6	0
967	tr	15	more for 7 dayes for that troope	34	16	6
968	close table	75	p[ai]d S[i]r John Meldrome for 12 dayes pay to him as Collonel at 40s p[er] diem	24	-	-
969	head		No 5 14 [October 1642]			
970	table (single row)	25	p[ai]d Captaine Hercules Langrish for pay of his troope for on mo[nth] to end the 11 [Novem]bre	349	6	-
971	head		15 [October 1642]			
972	open table	26	p[ai]d leifftenn[an]te Richard Stevens for providing 10 great saddles w[i]th furniturs for repleating Capt[ain] Austins troope	12	10	-
973	tr	14	p[ai]d the lord Brooke uppon acc[oun]tt for his regiment on foot	200	-	-
974	tr	132	p[ai]d Anthony Falstaff deputy to the wagon master for soe much by him expended for the maintenance of 80 horses in his service for 8 days	18	11	6
975	tr	115	p[ai]d Captaine Jude leigh for pay of his compa[ny] of Foot in the lord whartons reg[imen]t uppon acc[oun]tt	30	-	-
976	tr	10	p[ai]d Captaine Francis Fines for 1/2 mo[nths] pay for his troope to end 28 october	174	13	4
977	tr		p[ai]d m[aste]r George Haward who was imployed & wounded in the late service at worcester	20	-	-
978	tr	100	p[ai]d Docter Richard Gardner to be distributed to sicke & maimed sold[ier]s in wo[rceste]r	30	0	0
979	tr	98	p[ai]d Capt[ain] Draper for 1/2 a mo[nths] pay of his troop from the 14 to [th]e 28 [Octo]bre of 52 sol[diers]	148	1	-
980	tr	115	p[ai]d Capt[ain] John Bromhall for arrears & pay of his compa[ny] of 45 sold[ier]s in Coll[onel] Hamdens reg[imen]t to the 28 present	35	4	8
981	tr	43	p[ai]d the lord willoughby of Parham for 15 days pay of his troope of 80 harquebusiers endinge 14 pr[esen]t	170	-	-
982	tr		more for the arrears of his said troope & his paye as collonell of a regiment of horse	135	19	6
983	tr	52	p[ai]d Captaine Charles Chichester for on mo[nths] pay of his troop of 60 harquebusiers to end [th]e 18 [Octo]bre	349	6	-
984	tr	26	p[ai]d Captaine George Austin for on 1/2 mo[nths] pay of his troop endinge the 28. present	174	13	0
985	tr	28	p[ai]d the lord Hastings for 1/2 a mo[nths] pay of his troope to end 28. present	174	13	0
986	tr	47	p[ai]d Capt[ain] oliver Cromwell for 1/2 mo[nths] pay of his troop of 80 harquebusiers to the 28 present	209	13	0
987	close table			188138	10	9
988	pb		31r			
989	table (single row)		Sommeth [th]e paym[entes] on the other side	188139	10	9
990	head		17 [October 1642]			
991	open table	30	p[ai]d Collonel Ballard for pay of his regim[en]t of 726 sould[ier]s to [th]e 28 [Octo]bre	636	6	-
992	tr	116	p[ai]d Captaine Henry Rowe Capt[ain] Edward Froadsham & Capt[ain] John Duncan Capt[ain]s of Pioners for leviinge 600 pioners	30	0	0
993	tr	116	p[ai]d Capt[ain] Daniell Redman for arrears of his compa[ny] of 66 soldiers of my lord Mandevill[es] regiment & for a mo[nths] pay to [th]e 11 [Novem]bre	107	16	-
994	tr	88	p[ai]d Robert Palmer as above for his compa[ny] of 72 sold[ier]s of the same reg[imen]t	117	12	0
995	tr	63	p[ai]d Captaine [^Thomas Hamond^] for [^24 days^] pay endinge the 28 [Octo]bre of his troope	299	8	
996	tr	16	p[ai]d Capt[ain] Arthur Evelin for 1/2 a mo[nths] pay for his troope endinge 28 [Octo]bre	174	13	0
997	close table	69	p[ai]d my lord of Peeterburrough as Captaine of a troope of 60 harqueb[usiers] for pay of his troop to [th]e 28 [Octo]bre	136	0	0
998	head		18 [October 1642]			
999	open table	13	p[ai]d Collonel Hamden for on 1/2 mo[nths] pay of his reg[imen]t of 963 sold[ier]s 449.2 & for 1/2 mo[nth] for the officers of 10 compa[nies] to [th]e 28 [Octo]bre 270.18	720	6	8
1000	tr	14	p[ai]d the Lord Brook[es] for 1/2 a mo[nths] pay for his troope endinge the 28 [Octo]bre 1642	174	13	0
1001	tr	35	p[ai]d Captaine Keightly his troop as above	174	13	-
1002	tr	102	p[ai]d m[aste]r Robert Chambers by way of imprest to be by him expended in the service	50	0	0
1003	tr	7	p[ai]d the Lord wharton for pay of his officers and troop[ers] uppon acc[oun]t	323	17	6
1004	tr	9	p[ai]d my lord Gray for 1/2 mo[nths] pay for his troop ending 28 [Octo]bre	174	13	0
1005	tr	43	p[ai]d Captaine Fra[ncis] Tomson for 11 days pay of his troope to the 28 [Octo]bre inclu[sive]	137	4	6
1006	tr	18	p[ai]d Capt[ain] James Sheffeild for 1/2 a mo[nths] pay of his troope to end 28 present	174	13	0
1007	tr	38	p[ai]d Collonell Hollis for 1/2 a mo[nths] pay for the officers and sold[ier]s of his reg[imen]t from the 15 present	796	19	2
1008	tr	17	p[ai]d Captaine pretty for arrears of his trop to [th]e 29 [Octo]bre	137	4	6
1009	close table			192504	9	5
1010	pb		31v			
1011	table (single row)		Sommeth the paym[entes] on the other side	192504	9	5
1012	head		18 [Octo]bre [1642]			
1013	open table	114	p[ai]d Anthony Allen for the provision of gunpowder for the service of [th]e state	100	-	-
1014	tr	8	p[ai]d S[i]r w[illia]m waler Coll[onel] of a reg[imen]t of horse for arrears of his owne troop to the 29th present	137	4	6
1015	tr	13	p[ai]d Capt[ain] Fra[ncis] Dowet for 1/2 a mo[nths] paye for his troope to end the 28 present	174	13	-
1016	tr	105	p[ai]d Serjant Major Bamfield for 14 days pay for 958 sold[ier]s of my lord Gennerall[es] reg[imen]t to end the 28 [Octo]bre	447	1	4
1017	tr	105	more for 1/2 a mo[nths] pay for the officers of 10 compa[nies] of [tha]t reg[imen]t to end as above	270	18	-
1018	tr	18	p[ai]d Captaine Edward Aiscough for 15 days pay of his troop to the 28 present	187	2	6
1019	tr	66	p[ai]d S[i]r Arthur Hazelrige for 1/2 a mo[nths] pay for his troop to end the 28 [Octo]bre	174	13	-
1020	tr	35	p[ai]d my lord Mandevill as captaine of a foot compa[ny] of 85 sold[ier]s for arreers and alsoe for a mo[nths] pay of the said sold[ier]s to end [th]e 11 [Novem]bre	110	-	-
1021	tr	67	p[ai]d Capt[ain] Nicholas Devoreux for pay of 72 dragone[er]s in [...] reg[imen]t for 15 dayes to end 28 [Octo]bre	81	-	-
1022	tr	10	p[ai]d my lord Stamfo[rd] for 1 mo[nths] pay for 986 sold[ier]s of his reg[imen]t to end the 11 [Novem]bre 733.12 & for on mo[nths] pay for the officers of 10 compa[nies] of his reg[imen]t to end 11 [Novem]bre 541.16	1275	8	
1023	tr	12	p[ai]d my lord St John for 1/2 mo[nths] pay for his troope to end the 29 [Octo]bre exc[lusive]	174	13	-
1024	tr	7	p[ai]d my lord wharton toward[es] the paym[en]t of his reg[imen]t of foot uppon accompt	200	-	-
1025	tr	15	p[ai]d Collonel Arthur Goodwine for 1/2 a mo[nths] pay for his troope to begine the 15 [Octo]bre	174	13	0
1026	close table	45	p[ai]d Captaine Thomas Tyrrell in the reg[imen]t of Collonel Goodwine for 1/2 a mo[nths] pay for his troope to end the 29 present exclusive	174	13	0
1027	head		19 [October 1642]			
1028	open table	117	p[ai]d C[aptain] Benjamin Hooke for arrears of his compa[ny] of 60 sold[ier]s in my lord Rochford reg[imen]t for [th]e 10 octob[er] & for 19 dayes pay for 70 sold[ier]s to [th]e 28 [Octo]bre	70	6	8
1029	tr	117	p[ai]d Capt[ain] Thomas drake of the same reg[imen]t for 25 dayes to the 28 [Octo]bre	43	6	8
1030	close table			196300	2	1
1031	pb		32r			
1032	table (single row)		Sommeth [th]e paym[entes] on the other side	196300	2	1
1033	head		19 [Octo]bre [1642]			
1034	open table	37	p[ai]d Captaine John neal for 1/2 mo[nths] pay for his troop uppon acc[oun]tt	174	13	0
1035	tr	60	p[ai]d Captain Ambrose Tindall for 15 days pay for his compa[ny] of 60 drag[oons] in Collonel Midletons reg[imen]t to end [th]e 28 [Octo]bre	67	0	0
1036	tr	118	p[ai]d Capt[ain] Symon mathew captaine of drag[oons] uppon acc[oun]tt	70	0	0
1037	tr	80	p[ai]d Lawrence Loe my lord g[enera]ll[es] surgeon toward[es] the payment of the cures of divers maimed sold[ier]s left in the Cittie	40	0	0
1038	tr	17	p[ai]d James Swright surgeon of S[i]r w[illia]m Balfours reg[imen]t as by [th]e war[rant]	21	0	0
1039	tr	18	p[ai]d James Cooke surgeon to Collonel Midleton for soe much advanced to furnish his chest himself & mates	27	0	0
1040	tr	118	p[ai]d sergeant major Berry for 14 dayes paye of his whole troope to [th]e 28 [Octo]bre	174	13	0
1041	tr	34	p[ai]d Capt[ain] Anthonie Mildmay for of officers and sold[ier]s of his troop to [th]e 28 [Octo]bre	127	7	-
1042	tr	14	p[ai]d Jams nalton Chaplaine of Collonel Granthams reg[imen]t	9	11	4
1043	tr	83	p[ai]d Captain Symon Ridgley for 1/2 a mo[nths] pay for his troop to beginn [th]e 19 present	174	13	0
1044	tr	68	p[ai]d Capt[ain] Robert Turner for 15 dayes for 89 dragoon[er]s to begine [th]e 14 present	100	2	6
1045	tr	56	p[ai]d Capt[ain] Edward Clarke for 17 dayes pay for his troope to end [th]e 28 [Octo]bre	212	1	6
1046	tr	119	p[ai]d Serjant major urrey for 12 days pay for his troop of 70 harquebusiers to [th]e 29 [Octo]bre	164	14	0
1047	tr	119	more for allowance made to him for scarff[es]	35	-	-
1048	tr	119	p[ai]d Edward Pilkington for part of the pay of himself & other gun smiths sent from lond[on]	50	0	0
1049	tr		p[ai]d Francis nevill d[octo]r of Phizicke by way of imprest	30	-	-
1050	close table	102	p[ai]d Docter Dorisla for on mo[nths] pay to end 28 [Octo]bre	28	0	0
1051	head		20 [October 1642]			
1052	table (single row)	43	p[ai]d Collonel Sandys for his pay as colonel of a reg[imen]t of horse to [th]e 14 [Octo]bre	73	10	-
1053	head		23 [October 1642]			
1054	table (single row)	75	p[ai]d S[i]r John Meldrom Collonel of a regim[en]t of foot for paym[en]t of the said regiment by way of imprest	200	-	-
1055	head		25 [October 1642]			
1056	open table	21	p[ai]d to Collonel Fairfax toward[es] the pay of his regiment uppon acc[oun]t	500	0	0
1057	close table			198579	7	5
1058	pb		32v			
1059	table (single row)		Sommeth the paym[entes] on the other side	198579	7	5
1060	head		25 [October 1642]			
1061	table (single row)	[...]	p[ai]d Captaine Thomas sand[er]s for one half months pay of his troope endinge [th]e 28 [Octo]bre	174	13	0
1062	head		26 [October 1642]			
1063	table (single row)	120	p[ai]d S[i]r John norwich toward[es] the paym[en]t of his troope of 70 harquebusiers uppon acc[oun]tt	200	-	-
1064	head		27 [Octo]bre 1642			
1065	open table	51	p[ai]d Captaine walter longe for 1/2 a mo[nths] pay for his troope uppon accompt	174	13	-
1066	tr	14	p[ai]d my lord Brooke for a fortnights pay for the officers of his reg[imen]t of foot & himself	275	7	4
